Name,lat,lon,dist_from_depo
Gisha,-2.9311877,29.9573741,55.887445284278826
Gakenke,-3.0142553,29.6391159,54.66146461997449
Kabaribari,-2.9762688,29.6856656,55.87080758273685
Canika,-3.0700872,30.7704068,104.74422998607423
Kigeme,-3.0955151,30.7545731,102.0578294162681
Muramba,-3.522215,30.3476361,50.70191191173262
Kigari,-2.6371987,29.9531729,88.22903910933304
Runyankezi,-2.6549901,29.9815165,86.53923425894357
Karama,-2.6368593,30.0442953,89.51718930514456
Giheta,-2.7227978,29.9672908,78.92082185484654
Gisenyi,-3.1119341,29.6934969,42.30286838317758
Burarana,-3.0821278,29.6431616,48.19483021274334
Nyarurama,-3.1040814,29.7223547,41.413460730481425
Kwibuka,-3.407351,29.9093794,3.052824228504673
Gataba,-3.3388317,29.8844935,10.587302987181829
Ntunda,-3.308702,29.9159673,13.89160385662902
Mugutu,-3.3985623,29.9445632,6.267164603622001
Gatwaro,-3.4681211,29.8717613,4.9671087330496455
Nkubara,-3.1636709,30.2692285,50.72256856763974
Rabiro,-3.2000119,30.2450147,46.21300164437492
Rubavu,-3.0491489,30.2236228,55.660968674659806
Bitare,-2.9635825,30.228516,63.490421789052256
Kivungwe,-3.5565748,29.3961802,57.61709085508397
Gasarwe,-3.5106595,29.4177078,54.26906699677993
Mubone,-3.5075585,29.383519,57.974137261012245
Kinima,-3.4960463,29.3683945,59.47670136750823
Kiganza,-3.7207586,29.4727245,57.131332131491945
Gisagazuba,-3.7228225,29.4480533,59.55086770324936
Makombe,-2.5092003,30.5011228,122.09608163360575
Ruyenzi,-2.5630174,30.3616347,109.06185619705737
Gakoni,-2.5419289,30.3729097,111.7094720911032
Cagizo,-2.6671857,30.3063279,96.00412499629174
Kamaramagambo,-2.7102779,30.3062904,91.8243428546369
Murehe,-2.71227,30.3378802,93.4133018889396
Rukenke,-2.7493198,30.3548383,90.9754139124019
Mugongo,-2.7299531,30.3302959,91.30538503589443
Kayove,-2.3839712,30.4189506,129.58412173471473
Vumasi,-2.4125487,30.4070345,126.16467651814982
Murama,-2.398917,30.4809097,131.35254986991214
Nyarungazi,-3.7854626,29.9601064,39.51009190520124
Kayogoro,-3.5497945,30.4135227,58.4956956975377
Remba,-3.6451001,30.2287422,43.38980322036951
Gahama,-3.6841379,30.1924577,42.7224549944402
Kwitaba,-3.7192944,30.1836365,44.64539264722181
Kiyonga,-3.711439,30.1983795,45.22117159283904
Nyamiyaga,-3.8328984,30.1327284,51.19572467336286
Nyakazu,-3.9037703,30.1166434,57.32142445221298
Gasunu,-3.8733581,30.2273393,60.74832199692488
Murembera,-3.7914425,30.3026717,59.7474800013161
Ruhongoro,-3.6326061,30.3818562,57.89739462071564
Kabanga,-3.6397235,30.4064522,60.724693483543554
Murehe,-3.4826697,30.3549504,50.847165811680746
Mwegereza,-3.486524,30.3637956,51.87097857212124
Kigarika,-3.4547677,30.2804411,42.34113050159468
Nyantakara,-4.1746885,30.0207499,83.07201579153342
Nyamure,-3.8027522,29.9736341,41.664558443001454
Murara,-3.8243198,29.4781306,63.76705472737081
Gisanze,-3.9835023,29.6449966,67.11228744066646
Biganda,-3.2557364,29.5852823,40.10940741822277
Busaga,-3.8503575,29.4301019,69.65684791335424
Gasegerwa,-2.8277298,29.8736255,67.02664080088506
Butanganika,-2.9534987,29.8674852,53.17827936005472
Kagari,-2.790997,30.1094325,74.74217529604933
Karimbi,-3.384465,29.6035876,33.37820527285344
Yanza,-3.3906022,29.6040763,33.221292674561084
Kugatongo,-3.4158722,29.5892061,34.58977578975829
Rucunda,-3.3762926,29.5897818,35.04440373307289
Namande,-3.3813331,29.6106695,32.66105376883901
Komonanira,-4.4455289,29.6887159,114.36483108874577
Mwivuza,-2.4775,30.515,125.87617403496277
Gasanda,-3.9450413,29.5584963,68.12812449491717
Kayero,-3.810759,30.1200597,48.372066596166846
Burwana,-2.6584994,30.191193,91.58647747242848
Biyorwa,-3.4721693,30.1121603,23.963595884006416
Shanga,-3.8102479,30.0673383,45.64043977689923
Gatobo,-2.8601663,29.9527111,63.64601496198795
Bugendajoro,-3.0331744,30.6172299,91.17096068186608
Nyakirera,-3.172721,30.567724,79.60582444447901
Karago,-3.1759547,30.5358093,76.17586177101276
Buziragahama,-2.8052973,29.7791764,70.7297786466307
Rurama,-2.8052294,29.8958024,69.45209092546291
Busoro,-3.2515901,30.4317823,62.42010543398887
Nyamugari,-3.3318135,30.5566645,73.83090766418194
Rukamba,-3.1574454,30.1084182,38.301155046760215
Buhororo,-3.416626,29.5663303,37.12385531699552
