,id,a
753,7354911524,Buhanga
754,7354911525,Bugumbasha
755,7355312414,Gatonde
756,7355312436,Ruvumu
757,7355312437,Nyarunazi
758,7363431730,Remera
759,7363660965,Iteme
760,7364055915,Munanira
761,8264557628,Kiranzira
762,8264557663,Bukoro
763,8264557664,Rutoke
764,8290593959,Mparambo
765,8290593969,Gahabwa
766,8290593971,Nyabihugu
767,8304613244,Gaheta
768,8304613245,Nzove
769,8365020315,Binyura
770,8365020316,Bukanda
771,8368027390,Yogero
772,8375838377,Ryakaramba
773,8375838381,Murehe
774,8375838382,Karehe
775,8380825261,Bucuzi
776,9047391389,Gasenyi
777,9053826166,Mazingi
778,9053826168,Muzire
779,9060812969,Mugendo
780,9060812977,Gitwaro
781,9060812978,Mubone
782,9060812979,Busenga
783,9060812980,Gasebeyi
784,9060812981,Canda
785,9060812982,Migera
786,9060812983,Masama
787,9060812984,Mwaza
788,9060812995,Kiremba
789,9060813013,Rugembe
790,9060813015,Murambi
791,9060813016,Rubanda
792,9060833717,Masenga
793,9060833718,Mugendo
794,9060833719,Musenyi
795,9060833720,Bubaji
796,9060833721,Kinyami
797,9060833722,Ruvumu
798,9060833724,Mboza
799,9060833725,Rushubi
800,9060833726,Buhanda
801,9060833727,Cirisha
802,9060833766,Rushubi
803,9060833768,Kinama
804,9060833769,Muhororo
805,9060833770,Kurugamba
806,9060833812,Burenza
807,9060833999,Kavya
808,9060834010,Tenga
809,9060834011,Kivoga
810,9062301100,Masang
811,9062301101,Ruganira
812,9062788233,Kiyange
813,9062788234,Rwandagaro
814,9062788235,Ruhuma
815,9062788268,Sagara
816,9062788272,Kabangira
817,9062788314,Rutyazo
818,9062788315,Kigajo
819,9062788316,Ciyando
820,9062805617,Nyaruhengeri
821,9062805627,Bunywana
822,9062805628,Mutenza
823,9062805629,Ntobwe
824,9062805630,Ruganirwa
825,9062805631,Kizi
826,9062805632,Kiyange
827,9062805633,Rwizingwe
828,9071134303,Kagongo
829,9074976024,Buyumpu
830,9074976025,Buvumo
831,9074976057,Dusasa
832,9074976082,Kibati
833,9074995951,Gashiru
834,9074995952,Gisagara
835,9074995953,Kidunduri
836,9074995954,Munege
837,9074995955,Kivumu
838,9074995956,Kibuba
839,9074995957,Mutana
840,9074995958,Ngoma
841,9074995959,Ruhinga
842,9074995960,Songore
843,9077423465,Rwimbogo
844,9077423466,Rushubije
845,9077423469,Kanabugire
846,9077423470,Gasave
847,9077423471,Rambo
848,9077423473,Bugera
849,9077423475,Kibuburu
850,9077423476,Runyonza
851,9077423477,Ceru
852,9077423482,Foko
853,9078936447,Bujondi
854,9078936458,Kabizi
855,9078936459,Mugerere
856,9078936460,Kigomagoma
857,9079091378,Sanvura
858,9079128569,Rutenderi
859,9079128583,SAMPEKE
860,9079128584,Bigina
861,9079128585,Kibara
862,9079128586,Rubimba
863,9079128587,Mbizi
864,9079128588,Gitara
865,9079637041,Materwa
866,9079637042,Rangi
867,9079637043,Ruvyagira
868,9079637044,Mugumure
869,9079637045,Kiderege
870,9079702366,Kigombe
871,9079702367,Gakara
872,9079702368,Kigamba
873,9079702369,Mubondo
874,9079702370,Nyabitabo
875,9079783208,Rabiro
876,9079783209,Mugu
877,9079783210,Gikuzi
878,9079783211,Ndoba
879,9079783212,Mazuru
880,9080188121,Mwaro-Ngundu
881,9080188122,Ntita
882,9080188123,Rwesero
883,9080188126,Mwanzari
884,9080188128,Munanira
885,9080188129,Cumba
886,9080188155,Gahaga
887,9080188167,Muganza
888,9080188168,Nyarumanga
889,9080188180,Gasare
890,9080188216,Ngoro
891,9080194617,Mvumvu
892,9080194618,Kabuye
893,9080306860,Butezi
894,9080306861,Mwebeya
895,9080306862,Rubanga
896,9080306867,Buhogo
897,9081133255,Gisoro
898,9081133256,Bunyerere
899,9081133257,unnamed
900,9081133258,unnamed
901,9081133259,unnamed
902,9081133260,Rabiro
903,9081133261,Nyankorogo
904,9081190591,unnamed
905,9081190595,Nyamurambi
906,9082046804,Muriza
907,9082046805,Caragata
908,9082046811,Nyaburondwe
909,9082046812,Kirangara
910,9082046813,Bisinde
911,9082046814,Rutimbura
912,9082046815,Kazimya
913,9082046816,Mugozi
914,9082187417,Nyabisindu
915,9082187418,Gahoko
916,9082187419,Musenyi
917,9082357414,Kiyabu
918,9082357415,Gishubi
919,9082357416,Muremera
920,9082358917,Burenza
921,9082358918,Mihama
922,9082358919,Mpame
923,9082358921,Kanyonga
924,9082358932,Rukobe
925,9082358937,Ruhanza
926,9082358939,Muyange
927,9082358940,Simba
928,9082359032,Gatabo
929,9082359060,Canzikiro
930,9082359061,Rwimbogo
931,9083166769,Gasera
932,9083166770,Gisimbawaga
933,9083166771,Gisimbawaga
934,9083166772,Yagizo
935,9083166786,Gasenyi
936,9083166787,Gasave
937,9083166788,Burenza
938,9083166789,Bwica
939,9083166790,Mizuga
940,9083166791,Masasu
941,9083178630,Jani
942,9083178631,Karama
943,9083178632,Gisanze-Muzingi
944,9083178633,Bonero
945,9083178634,Gahehe
946,9083178635,Zaga
947,9083178636,Rugarama
948,9083178638,Kivumu
949,9083178639,Gihinga
950,9083178640,Mutarishwa
951,9083178654,Santunda
952,9083178666,Minyago
953,9083178667,Teka
954,9083178668,Kabizi
955,9083178669,Kimeza
956,9083178674,Rabiro
957,9084069622,Butihinda
958,9084069643,Rungazi
959,9084069644,Buhimba
960,9084069649,Buringa
961,9084069650,Gitete
962,9084069651,Kumana
963,9084069656,Muyange
964,9084069657,Mwenya
965,9084069658,Gihosha
966,9084069659,Cumva
967,9084069660,Karamagi
968,9084069661,Nyakibingo
969,9084069662,Butamenwa
970,9084087323,unnamed
971,9084174351,Ruvumu
972,9084174415,unnamed
973,9084177642,Ngara
974,9084177643,Gatsinga
975,9084177644,Rango
976,9084177645,Buziracanda
977,9084177694,Kabogi
978,9084177695,Higiro
979,9084177704,Gashingwa
980,9084177705,Nyarukere
981,9087454905,Muyebe
982,9087454906,Gisitrye
983,9087454909,Iteka
984,9087454910,Kibungere
985,9087471423,Gihoma
986,9087471436,Nyarubayi
987,9087471437,Migera
988,9087471438,Rwankangoma
989,9087471448,Murama
990,9087471461,Ubuvukamyi
991,9087673909,Magamba
992,9087673910,Musama
993,9087677021,Kanka
994,9087677022,Musumba
995,9088169748,Mugano
996,9088169774,Kigina-Mugomera
997,9088169775,Kiganda
998,9088169776,Mabaya
999,9088169777,Nyangihotora
1000,9088169778,Nyentambwe
1001,9088169779,Murenge
1002,9088169780,Rusaga
1003,9088169781,Ntunda
1004,9088169782,Rweza
1005,9088169792,Gatwaro
1006,9090847359,Gatete
1007,9090859150,Karagara
1008,9091152529,Muhanda
1009,9091152530,Nyagasaka
1010,9091152542,Tongwe
1011,9091152548,Murinda
1012,9091152561,Rukanda
1013,9091152589,Mubuga
1014,9091152590,Musenyi
1015,9091152591,Karambi
1016,9091277118,Nyakabuko
1017,9091277141,Rukoma
1018,9091277142,Kanyabitumwe
1019,9091277162,Kirama
1020,9091277177,Murenge
1021,9091368206,Karinzi
1022,9092722483,Kigoma
1023,9092722484,Burara
1024,9092722485,Rugarama
1025,9092722486,Kibonde
1026,9092722487,Gisenyi
1027,9092722497,Mataka
1028,9092722498,Gasura
1029,9092722502,Muyange
1030,9092736135,Kagarama
1031,9092736136,Ruhama
1032,9092736143,unnamed
1033,9092736144,Rutanga
1034,9092736145,unnamed
1035,9092736146,Kididiri
1036,9092736147,Mutsinda
